playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,1FP9s72rDYty6mfoOEYKnE,All We Got (feat. KIDDO),2020-10-16,48563611,All We Got (feat. KIDDO),Robin Schulz,KIDDO,,3t5xRXzsuZmMDkQzgOX35S,88,dance pop,deep euro house,deep house,2600078,1,190218,0.504,0.76,4,-4.246,1,0.0426,0.286,0.0,0.151,0.64,183.933,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,4Lt6GXGzYsa1tgkv3nGSTm,Love Not War (The Tampa Beat),2020-11-20,35846409,Love Not War (The Tampa Beat),Jason Derulo,Nuka,,07YZf4WDAMNwqr4jfgOZ8y,87,dance pop,pop,pop dance,8719933,0,192921,0.738,0.85,8,-3.049,1,0.0642,0.105,0.0,0.23,0.865,98.013,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,57VeLYXrvNxe8Vs18K2M9W,Way Out (feat. Big Sean),2020-12-11,29901643,Thats What They All Say,Jack Harlow,Big Sean,,2LIk90788K0zvyj2JJVwkJ,82,deep underground hip hop,kentucky hip hop,pop rap,644370,1,168906,0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,70rFIfYN7lU6iTgUIVP42w,my ex's best friend (with blackbear),2020-08-07,177693755,my ex's best friend (with blackbear),Machine Gun Kelly,blackbear,,6TIYQ3jFPwQSRmorSezPxX,53,ohio hip hop,pop rap,,2938354,1,138970,0.728,0.685,5,-5.096,0,0.0433,0.00391,0.0,0.152,0.33,124.934,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,5KCbr5ndeby4y4ggthdiAb,Wonder,2020-10-02,188901689,Wonder,Shawn Mendes,,,7n2wHs1TKAczGzO7Dd2rGr,91,canadian pop,dance pop,pop,30819118,0,172693,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,45S5WTQEGOB1VHr1Q4FuPl,Golden,2019-12-13,224399412,Fine Line,Harry Styles,,,6KImCVD70vtIoJWnq6nGn3,91,pop,post-teen pop,,11839952,0,208907,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),2020-07-03,454215464,Shoot For The Stars Aim For The Moon,Pop Smoke,Lil Baby,DaBaby,0eDvMgVFoNV3TpwtrVCoTj,94,brooklyn drill,,,3476796,1,190476,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),2020-08-14,365771889,Laugh Now Cry Later (feat. Lil Durk),Drake,Lil Durk,,3TVXtAsR1Inumwj472S9r4,93,canadian hip hop,canadian pop,hip hop,51906055,1,261493,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0AUvWawuP0ibk4SQ3sIZjk,Daisy,2020-07-09,150677361,Daisy,Ashnikko,,,3PyJHH2wyfQK3WZrk9rpmP,90,electropop,escape room,pop,613944,1,146523,0.834,0.663,8,-6.143,1,0.133,0.235,0.0,0.372,0.774,121.876,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,2020-11-27,138810852,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,ROSALÍA,,4q3ewBCX7sLwd24euuV69X,97,latin,reggaeton,trap latino,28617562,0,203201,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,4wosxLl0mAqhneDzya2MfY,Head & Heart (feat. MNEK),2020-07-03,412477213,Head & Heart (feat. MNEK),Joel Corry,MNEK,,6DgP9otnZw5z6daOntINxp,78,dance pop,house,pop dance,137083,0,166028,0.732,0.874,8,-3.158,1,0.0662,0.168,1.17e-05,0.0489,0.905,122.961,4
Today's Top Hits,Ariana Grande is on top of the Hottest 50!,0v1x6rN6JHRapa03JElljE,Dynamite,2020-08-21,594996536,Dynamite,BTS,,,3Nrfpe0tUJi4K4DXYWgMUX,51,k-pop,k-pop boy group,,27287332,0,199054,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
