playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mood Booster,Get happy with today's dose of feel-good songs!,5dn6QANKbf76pANGjMBida,Blueberry Eyes (feat. SUGA of BTS),2020-09-15,69655850,Blueberry Eyes (feat. SUGA of BTS),MAX,SUGA,,1bqxdqvUtPWZri43cKHac8,82,dance pop,electropop,pop,608207,0,172245,0.746,0.611,0,-7.034,0,0.101,0.454,0.000922,0.133,0.411,149.967,4
Mood Booster,Get happy with today's dose of feel-good songs!,5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),2020-09-18,288260569,Holy,Justin Bieber,Chance the Rapper,,1uNFoZAHBGtllmzznpCI3s,93,canadian pop,pop,post-teen pop,41222799,0,212093,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,4
Mood Booster,Get happy with today's dose of feel-good songs!,0DmAvNCAK08oCi7miSZUIY,Lasting Lover,2020-09-04,65159868,Lasting Lover,Sigala,James Arthur,,1IueXOQyABrMOprrzwQJWN,85,dance pop,edm,pop,1195835,0,218359,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983,4
Mood Booster,Get happy with today's dose of feel-good songs!,06kxa3al7bUqRRo5nAFduZ,Nightlight,2020-08-28,28046278,Nightlight,ILLENIUM,Annika Wells,,45eNHdiiabvmbp4erw26rg,77,edm,electropop,melodic dubstep,1008073,0,222400,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,4
Mood Booster,Get happy with today's dose of feel-good songs!,44l9nnCVvOQBbWG6tDViKl,Share That Love (feat. G-Eazy),2020-08-21,36838284,Share That Love (feat. G-Eazy),Lukas Graham,G-Eazy,,25u4wHJWxCA9vO0CzxAbK7,75,danish pop,pop,scandipop,1756564,1,172399,0.715,0.658,11,-4.304,0,0.106,0.162,0.0,0.0742,0.795,158.024,4
Mood Booster,Get happy with today's dose of feel-good songs!,4rVW6XqAsSaf5vOwc8FREW,Wild (feat. Gary Clark Jr.),2020-06-19,29429127,Bigger Love,John Legend,Gary Clark Jr.,,5y2Xq6xcjJb2jVM54GHK3t,78,neo soul,pop,pop soul,5381744,0,196907,0.557,0.585,8,-6.201,1,0.0431,0.036,0.0,0.176,0.305,63.392,4
Mood Booster,Get happy with today's dose of feel-good songs!,0roOLcll6SSTYZwsQFmXqP,Let Me Move You - From the Netflix film Work It,2020-07-24,42121291,Let Me Move You (From the Netflix film Work It),Sabrina Carpenter,,,74KM79TiuVKeVCqs8QtB0B,79,dance pop,electropop,pop,3194821,0,147071,0.624,0.628,4,-6.582,0,0.0408,0.0112,0.0191,0.0814,0.772,114.556,4
Mood Booster,Get happy with today's dose of feel-good songs!,0v1x6rN6JHRapa03JElljE,Dynamite,2020-08-21,594996536,Dynamite,BTS,,,3Nrfpe0tUJi4K4DXYWgMUX,51,k-pop,k-pop boy group,,27287332,0,199054,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
Mood Booster,Get happy with today's dose of feel-good songs!,2HvtedoEeymVWrBPyAMNwZ,SUPERBLOOM,2020-07-24,29031168,SUPERBLOOM,MisterWives,,,5ivCbtrcD5N4rD337xIb2z,77,electropop,indie pop,indie poptimism,374911,0,213547,0.558,0.889,8,-3.945,1,0.102,0.191,0.000387,0.328,0.716,170.102,4
Mood Booster,Get happy with today's dose of feel-good songs!,3jjujdWJ72nww5eGnfs2E7,Adore You,2019-12-13,695578364,Fine Line,Harry Styles,,,6KImCVD70vtIoJWnq6nGn3,89,pop,post-teen pop,,11839952,0,207133,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4
Mood Booster,Get happy with today's dose of feel-good songs!,2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,2015-10-16,438077214,Dopamine,BØRNS,,,1KP6TWI40m7p3QBTU6u2xo,88,modern rock,pop,,942123,0,218107,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
Mood Booster,Get happy with today's dose of feel-good songs!,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),2019-01-11,821723276,Dancing With A Stranger (with Normani),Sam Smith,Normani,,2wY79sveU1sp5g7SokKOiI,84,dance pop,pop,post-teen pop,14989159,0,171030,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4
Mood Booster,Get happy with today's dose of feel-good songs!,59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,2020-07-22,246481439,Take You Dancing,Jason Derulo,,,07YZf4WDAMNwqr4jfgOZ8y,92,dance pop,pop,pop dance,8719933,0,190306,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,4
