playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Songs to Sing in the Car,Sing along and enjoy the drive...,4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2016-06-24,802036210,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,Wiz Khalifa,Imagine Dragons,55Aa2cqylxrFIXC767Z865,79,hip hop,new orleans rap,pop rap,9955383,1,243491,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,4
Songs to Sing in the Car,Sing along and enjoy the drive...,7DHApOHsIFo7EyfieArYGE,Walk Me Home,2019-02-20,267375728,Walk Me Home,P!nk,,,1KCSPY1glIKqW2TotWuXOR,73,dance pop,pop,post-teen pop,10028824,0,177391,0.652,0.453,1,-6.119,1,0.0445,0.0507,0.0,0.179,0.432,88.039,3
Songs to Sing in the Car,Sing along and enjoy the drive...,4rTZbEQtDtlZZW1Ag9Umbk,Obsessed,2019-03-22,72025115,Obsessed,Dynoro,Ina Wroldsen,,3v6Ji4uoWtKRkhuDUaxi9n,39,edm,electro house,pop dance,214131,0,208775,0.581,0.818,11,-4.412,0,0.0591,0.0648,2.63e-06,0.153,0.191,117.972,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2ekn2ttSfGqwhhate0LSR0,New Rules,2017-06-02,1458144507,Dua Lipa (Deluxe),Dua Lipa,,,6M2wZ9GZgrQXHCFfjv46we,82,dance pop,pop,pop dance,21976970,0,209320,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,4
Songs to Sing in the Car,Sing along and enjoy the drive...,32y9LSjv2Q49T3NnkETXCm,OK,2017-09-29,nan,Uncovered,Robin Schulz,James Blunt,,3t5xRXzsuZmMDkQzgOX35S,65,dance pop,deep euro house,deep house,2600078,0,189307,0.653,0.81,7,-6.032,0,0.0558,0.118,0.0,0.126,0.583,121.951,4
Songs to Sing in the Car,Sing along and enjoy the drive...,3JHw0gnnY4WO4YqsdBq0ZF,One Day (Vandaag) - Radio Edit,2014-04-25,101736634,One Day (Vandaag),Bakermat,,,3MyFDtqB80WZvbtCZRsekM,55,deep euro house,minimal tech house,new french touch,303495,0,219067,0.657,0.594,5,-6.043,1,0.0307,0.716,0.0802,0.373,0.57,127.991,4
Songs to Sing in the Car,Sing along and enjoy the drive...,62yJjFtgkhUrXktIoSjgP2,Radioactive,2012-09-04,1117074038,Night Visions,Imagine Dragons,,,53XhwfbYqKCa1cC15pYq2q,79,modern rock,rock,,31919694,0,186813,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4
Songs to Sing in the Car,Sing along and enjoy the drive...,4c9VuqkKaey9u0IihbUKTt,"Never Leave You (Uh Oooh, Uh Oooh)",2003-01-01,38005110,Almost Famous,Lumidee,,,1IO0GVa1xjkFMXsg66FiE9,0,hip pop,,,61995,0,184907,0.807,0.642,0,-6.348,1,0.375,0.0406,0.642,0.081,0.836,199.965,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2tnVG71enUj33Ic2nFN6kZ,Ride It,2019-07-26,717491026,Ride It,Regard,,,4ofCBoyEiGSePFAG500xev,89,edm,pop dance,pop edm,113727,0,157606,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4
Songs to Sing in the Car,Sing along and enjoy the drive...,76cy1WJvNGJTj78UqeA5zr,IDGAF,2017-06-02,1080674955,Dua Lipa (Deluxe),Dua Lipa,,,6M2wZ9GZgrQXHCFfjv46we,82,dance pop,pop,pop dance,21976970,1,217947,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,4
